domain,scale_pct,total_structures,total_patterns,train_structures,val_structures,test_structures,train_ratio,val_ratio,test_ratio,split_structure,leakage_clean,augmentation_complete,aug_errors,cs_imbalance_ratio,cs_recommendation,sg_top10_imbalance_ratio,sg_modeling_allowed,sg_modeling_blocked_reason,top10_sg_train_min,top10_sg_train_max,jsd_cs_train_val,jsd_cs_train_test,jsd_sg_train_val,jsd_sg_train_test
D1,5,1154,27696,807,173,174,0.6993,0.1499,0.1508,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.11,True,,28,59,0.000121,0.000139,0.167264,0.183838
D1,10,2307,55368,1614,346,347,0.6996,0.15,0.1504,70/15/15,True,True,0,30.0,weighted sampler + focal loss,1.93,True,,57,110,3.6e-05,8.5e-05,0.101812,0.082478
D1,15,3461,83064,2422,519,520,0.6998,0.15,0.1502,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.04,True,,84,171,3e-06,8.5e-05,0.086666,0.070988
D1,20,4615,110760,3230,692,693,0.6999,0.1499,0.1502,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.01,True,,111,223,4e-06,4e-06,0.058673,0.055733
D2,5,1154,27696,807,173,174,0.6993,0.1499,0.1508,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.11,True,,28,59,0.000121,0.000139,0.167264,0.183838
D2,10,2307,55368,1614,346,347,0.6996,0.15,0.1504,70/15/15,True,True,0,30.0,weighted sampler + focal loss,1.93,True,,57,110,3.6e-05,8.5e-05,0.101812,0.082478
D2,15,3461,83064,2422,519,520,0.6998,0.15,0.1502,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.04,True,,84,171,3e-06,8.5e-05,0.086666,0.070988
D2,20,4615,110760,3230,692,693,0.6999,0.1499,0.1502,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.01,True,,111,223,4e-06,4e-06,0.058673,0.055733
D3,5,1154,27696,807,173,174,0.6993,0.1499,0.1508,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.11,True,,28,59,0.000121,0.000139,0.167264,0.183838
D3,10,2307,55368,1614,346,347,0.6996,0.15,0.1504,70/15/15,True,True,0,30.0,weighted sampler + focal loss,1.93,True,,57,110,3.6e-05,8.5e-05,0.101812,0.082478
D3,15,3461,83064,2422,519,520,0.6998,0.15,0.1502,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.04,True,,84,171,3e-06,8.5e-05,0.086666,0.070988
D3,20,4615,110760,3230,692,693,0.6999,0.1499,0.1502,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.01,True,,111,223,4e-06,4e-06,0.058673,0.055733
D4,5,1154,27696,807,173,174,0.6993,0.1499,0.1508,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.11,True,,28,59,0.000121,0.000139,0.167264,0.183838
D4,10,2307,55368,1614,346,347,0.6996,0.15,0.1504,70/15/15,True,True,0,30.0,weighted sampler + focal loss,1.93,True,,57,110,3.6e-05,8.5e-05,0.101812,0.082478
D4,15,3461,83064,2422,519,520,0.6998,0.15,0.1502,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.04,True,,84,171,3e-06,8.5e-05,0.086666,0.070988
D4,20,4615,110760,3230,692,693,0.6999,0.1499,0.1502,70/15/15,True,True,0,30.0,weighted sampler + focal loss,2.01,True,,111,223,4e-06,4e-06,0.058673,0.055733
