domain,scale_pct,domain_scale,sg_count_thresh_50,min_freq_thresh_50,sg_count_thresh_100,min_freq_thresh_100,sg_count_thresh_150,min_freq_thresh_150,sg_count_thresh_200,min_freq_thresh_200
D1,5,D1_5pct,4,51,0,0,0,0,0,0
D1,10,D1_10pct,13,63,4,107,3,150,0,0
D1,15,D1_15pct,15,54,11,111,4,157,3,221
D1,20,D1_20pct,19,51,13,111,10,159,4,210
D2,5,D2_5pct,4,51,0,0,0,0,0,0
D2,10,D2_10pct,13,63,4,107,3,150,0,0
D2,15,D2_15pct,15,54,11,111,4,157,3,221
D2,20,D2_20pct,19,51,13,111,10,159,4,210
D3,5,D3_5pct,4,51,0,0,0,0,0,0
D3,10,D3_10pct,13,63,4,107,3,150,0,0
D3,15,D3_15pct,15,54,11,111,4,157,3,221
D3,20,D3_20pct,19,51,13,111,10,159,4,210
D4,5,D4_5pct,4,51,0,0,0,0,0,0
D4,10,D4_10pct,13,63,4,107,3,150,0,0
D4,15,D4_15pct,15,54,11,111,4,157,3,221
D4,20,D4_20pct,19,51,13,111,10,159,4,210
