domain,scale_pct,crystal_sys,crystal_sys_name,train_structures,train_patterns,val_structures,val_patterns,test_structures,test_patterns,total_structures,total_patterns
D1,5,0,cubic,166,3984,36,864,36,864,238,5712
D1,5,1,monoclinic,112,2688,24,576,24,576,160,3840
D1,5,2,orthorhombic,180,4320,38,912,39,936,257,6168
D1,5,3,triclinic,6,144,1,24,1,24,8,192
D1,5,4,hexagonal,166,3984,36,864,36,864,238,5712
D1,5,5,tetragonal,137,3288,29,696,30,720,196,4704
D1,5,6,trigonal,40,960,9,216,8,192,57,1368
D1,10,0,cubic,332,7968,71,1704,72,1728,475,11400
D1,10,1,monoclinic,225,5400,48,1152,48,1152,321,7704
D1,10,2,orthorhombic,360,8640,77,1848,77,1848,514,12336
D1,10,3,triclinic,12,288,3,72,2,48,17,408
D1,10,4,hexagonal,332,7968,71,1704,72,1728,475,11400
D1,10,5,tetragonal,274,6576,59,1416,59,1416,392,9408
D1,10,6,trigonal,79,1896,17,408,17,408,113,2712
D1,15,0,cubic,499,11976,107,2568,107,2568,713,17112
D1,15,1,monoclinic,337,8088,72,1728,72,1728,481,11544
D1,15,2,orthorhombic,540,12960,116,2784,116,2784,772,18528
D1,15,3,triclinic,18,432,4,96,3,72,25,600
D1,15,4,hexagonal,499,11976,107,2568,107,2568,713,17112
D1,15,5,tetragonal,411,9864,88,2112,89,2136,588,14112
D1,15,6,trigonal,118,2832,25,600,26,624,169,4056
D1,20,0,cubic,665,15960,142,3408,143,3432,950,22800
D1,20,1,monoclinic,449,10776,97,2328,96,2304,642,15408
D1,20,2,orthorhombic,720,17280,154,3696,155,3720,1029,24696
D1,20,3,triclinic,24,576,5,120,5,120,34,816
D1,20,4,hexagonal,665,15960,142,3408,143,3432,950,22800
D1,20,5,tetragonal,549,13176,118,2832,117,2808,784,18816
D1,20,6,trigonal,158,3792,34,816,34,816,226,5424
D2,5,0,cubic,166,3984,36,864,36,864,238,5712
D2,5,1,monoclinic,112,2688,24,576,24,576,160,3840
D2,5,2,orthorhombic,180,4320,38,912,39,936,257,6168
D2,5,3,triclinic,6,144,1,24,1,24,8,192
D2,5,4,hexagonal,166,3984,36,864,36,864,238,5712
D2,5,5,tetragonal,137,3288,29,696,30,720,196,4704
D2,5,6,trigonal,40,960,9,216,8,192,57,1368
D2,10,0,cubic,332,7968,71,1704,72,1728,475,11400
D2,10,1,monoclinic,225,5400,48,1152,48,1152,321,7704
D2,10,2,orthorhombic,360,8640,77,1848,77,1848,514,12336
D2,10,3,triclinic,12,288,3,72,2,48,17,408
D2,10,4,hexagonal,332,7968,71,1704,72,1728,475,11400
D2,10,5,tetragonal,274,6576,59,1416,59,1416,392,9408
D2,10,6,trigonal,79,1896,17,408,17,408,113,2712
D2,15,0,cubic,499,11976,107,2568,107,2568,713,17112
D2,15,1,monoclinic,337,8088,72,1728,72,1728,481,11544
D2,15,2,orthorhombic,540,12960,116,2784,116,2784,772,18528
D2,15,3,triclinic,18,432,4,96,3,72,25,600
D2,15,4,hexagonal,499,11976,107,2568,107,2568,713,17112
D2,15,5,tetragonal,411,9864,88,2112,89,2136,588,14112
D2,15,6,trigonal,118,2832,25,600,26,624,169,4056
D2,20,0,cubic,665,15960,142,3408,143,3432,950,22800
D2,20,1,monoclinic,449,10776,97,2328,96,2304,642,15408
D2,20,2,orthorhombic,720,17280,154,3696,155,3720,1029,24696
D2,20,3,triclinic,24,576,5,120,5,120,34,816
D2,20,4,hexagonal,665,15960,142,3408,143,3432,950,22800
D2,20,5,tetragonal,549,13176,118,2832,117,2808,784,18816
D2,20,6,trigonal,158,3792,34,816,34,816,226,5424
D3,5,0,cubic,166,3984,36,864,36,864,238,5712
D3,5,1,monoclinic,112,2688,24,576,24,576,160,3840
D3,5,2,orthorhombic,180,4320,38,912,39,936,257,6168
D3,5,3,triclinic,6,144,1,24,1,24,8,192
D3,5,4,hexagonal,166,3984,36,864,36,864,238,5712
D3,5,5,tetragonal,137,3288,29,696,30,720,196,4704
D3,5,6,trigonal,40,960,9,216,8,192,57,1368
D3,10,0,cubic,332,7968,71,1704,72,1728,475,11400
D3,10,1,monoclinic,225,5400,48,1152,48,1152,321,7704
D3,10,2,orthorhombic,360,8640,77,1848,77,1848,514,12336
D3,10,3,triclinic,12,288,3,72,2,48,17,408
D3,10,4,hexagonal,332,7968,71,1704,72,1728,475,11400
D3,10,5,tetragonal,274,6576,59,1416,59,1416,392,9408
D3,10,6,trigonal,79,1896,17,408,17,408,113,2712
D3,15,0,cubic,499,11976,107,2568,107,2568,713,17112
D3,15,1,monoclinic,337,8088,72,1728,72,1728,481,11544
D3,15,2,orthorhombic,540,12960,116,2784,116,2784,772,18528
D3,15,3,triclinic,18,432,4,96,3,72,25,600
D3,15,4,hexagonal,499,11976,107,2568,107,2568,713,17112
D3,15,5,tetragonal,411,9864,88,2112,89,2136,588,14112
D3,15,6,trigonal,118,2832,25,600,26,624,169,4056
