domain,scale_pct,space_group_no,space_group,chosen_threshold,train_structures,val_structures,test_structures,total_structures
D1,5,14,P2_1/c,50,57,9,6,72
D1,5,62,Pnma,50,50,12,11,73
D1,5,194,P6_3/mmc,50,33,9,9,51
D1,5,225,Fm-3m,50,59,9,15,83
D1,10,14,P2_1/c,150,106,20,27,153
D1,10,62,Pnma,150,110,19,21,150
D1,10,225,Fm-3m,150,109,31,21,161
D1,15,14,P2_1/c,200,151,33,42,226
D1,15,62,Pnma,200,171,33,31,235
D1,15,225,Fm-3m,200,161,25,35,221
D1,20,14,P2_1/c,200,209,51,50,310
D1,20,62,Pnma,200,223,46,49,318
D1,20,194,P6_3/mmc,200,141,35,34,210
D1,20,225,Fm-3m,200,204,41,48,293
D2,5,14,P2_1/c,50,57,9,6,72
D2,5,62,Pnma,50,50,12,11,73
D2,5,194,P6_3/mmc,50,33,9,9,51
D2,5,225,Fm-3m,50,59,9,15,83
D2,10,14,P2_1/c,150,106,20,27,153
D2,10,62,Pnma,150,110,19,21,150
D2,10,225,Fm-3m,150,109,31,21,161
D2,15,14,P2_1/c,200,151,33,42,226
D2,15,62,Pnma,200,171,33,31,235
D2,15,225,Fm-3m,200,161,25,35,221
D2,20,14,P2_1/c,200,209,51,50,310
D2,20,62,Pnma,200,223,46,49,318
D2,20,194,P6_3/mmc,200,141,35,34,210
D2,20,225,Fm-3m,200,204,41,48,293
D3,5,14,P2_1/c,50,57,9,6,72
D3,5,62,Pnma,50,50,12,11,73
D3,5,194,P6_3/mmc,50,33,9,9,51
D3,5,225,Fm-3m,50,59,9,15,83
D3,10,14,P2_1/c,150,106,20,27,153
D3,10,62,Pnma,150,110,19,21,150
D3,10,225,Fm-3m,150,109,31,21,161
D3,15,14,P2_1/c,200,151,33,42,226
D3,15,62,Pnma,200,171,33,31,235
D3,15,225,Fm-3m,200,161,25,35,221
D3,20,14,P2_1/c,200,209,51,50,310
D3,20,62,Pnma,200,223,46,49,318
D3,20,194,P6_3/mmc,200,141,35,34,210
D3,20,225,Fm-3m,200,204,41,48,293
D4,5,14,P2_1/c,50,57,9,6,72
D4,5,62,Pnma,50,50,12,11,73
D4,5,194,P6_3/mmc,50,33,9,9,51
D4,5,225,Fm-3m,50,59,9,15,83
D4,10,14,P2_1/c,150,106,20,27,153
D4,10,62,Pnma,150,110,19,21,150
D4,10,225,Fm-3m,150,109,31,21,161
D4,15,14,P2_1/c,200,151,33,42,226
D4,15,62,Pnma,200,171,33,31,235
D4,15,225,Fm-3m,200,161,25,35,221
D4,20,14,P2_1/c,200,209,51,50,310
D4,20,62,Pnma,200,223,46,49,318
D4,20,194,P6_3/mmc,200,141,35,34,210
D4,20,225,Fm-3m,200,204,41,48,293
