task,domain,scale_pct,num_classes,imbalance_ratio,recommendation,modeling_allowed,jsd_train_val,jsd_train_test,notes
crystal_system,D1,5,7,30.0,weighted sampler + focal loss,True,0.000121,0.000139,triclinic severely underrepresented (~30x ratio)
space_group_top10,D1,5,10,2.11,standard cross-entropy,True,0.167264,0.183838,top-10 by frequency; all present in train
crystal_system,D1,10,7,30.0,weighted sampler + focal loss,True,3.6e-05,8.5e-05,triclinic severely underrepresented (~30x ratio)
space_group_top10,D1,10,10,1.93,standard cross-entropy,True,0.101812,0.082478,top-10 by frequency; all present in train
crystal_system,D1,15,7,30.0,weighted sampler + focal loss,True,3e-06,8.5e-05,triclinic severely underrepresented (~30x ratio)
space_group_top10,D1,15,10,2.04,standard cross-entropy,True,0.086666,0.070988,top-10 by frequency; all present in train
crystal_system,D1,20,7,30.0,weighted sampler + focal loss,True,4e-06,4e-06,triclinic severely underrepresented (~30x ratio)
space_group_top10,D1,20,10,2.01,standard cross-entropy,True,0.058673,0.055733,top-10 by frequency; all present in train
crystal_system,D2,5,7,30.0,weighted sampler + focal loss,True,0.000121,0.000139,triclinic severely underrepresented (~30x ratio)
space_group_top10,D2,5,10,2.11,standard cross-entropy,True,0.167264,0.183838,top-10 by frequency; all present in train
crystal_system,D2,10,7,30.0,weighted sampler + focal loss,True,3.6e-05,8.5e-05,triclinic severely underrepresented (~30x ratio)
space_group_top10,D2,10,10,1.93,standard cross-entropy,True,0.101812,0.082478,top-10 by frequency; all present in train
crystal_system,D2,15,7,30.0,weighted sampler + focal loss,True,3e-06,8.5e-05,triclinic severely underrepresented (~30x ratio)
space_group_top10,D2,15,10,2.04,standard cross-entropy,True,0.086666,0.070988,top-10 by frequency; all present in train
crystal_system,D2,20,7,30.0,weighted sampler + focal loss,True,4e-06,4e-06,triclinic severely underrepresented (~30x ratio)
space_group_top10,D2,20,10,2.01,standard cross-entropy,True,0.058673,0.055733,top-10 by frequency; all present in train
crystal_system,D3,5,7,30.0,weighted sampler + focal loss,True,0.000121,0.000139,triclinic severely underrepresented (~30x ratio)
space_group_top10,D3,5,10,2.11,standard cross-entropy,True,0.167264,0.183838,top-10 by frequency; all present in train
crystal_system,D3,10,7,30.0,weighted sampler + focal loss,True,3.6e-05,8.5e-05,triclinic severely underrepresented (~30x ratio)
space_group_top10,D3,10,10,1.93,standard cross-entropy,True,0.101812,0.082478,top-10 by frequency; all present in train
crystal_system,D3,15,7,30.0,weighted sampler + focal loss,True,3e-06,8.5e-05,triclinic severely underrepresented (~30x ratio)
space_group_top10,D3,15,10,2.04,standard cross-entropy,True,0.086666,0.070988,top-10 by frequency; all present in train
crystal_system,D3,20,7,30.0,weighted sampler + focal loss,True,4e-06,4e-06,triclinic severely underrepresented (~30x ratio)
space_group_top10,D3,20,10,2.01,standard cross-entropy,True,0.058673,0.055733,top-10 by frequency; all present in train
crystal_system,D4,5,7,30.0,weighted sampler + focal loss,True,0.000121,0.000139,triclinic severely underrepresented (~30x ratio)
space_group_top10,D4,5,10,2.11,standard cross-entropy,True,0.167264,0.183838,top-10 by frequency; all present in train
crystal_system,D4,10,7,30.0,weighted sampler + focal loss,True,3.6e-05,8.5e-05,triclinic severely underrepresented (~30x ratio)
space_group_top10,D4,10,10,1.93,standard cross-entropy,True,0.101812,0.082478,top-10 by frequency; all present in train
crystal_system,D4,15,7,30.0,weighted sampler + focal loss,True,3e-06,8.5e-05,triclinic severely underrepresented (~30x ratio)
space_group_top10,D4,15,10,2.04,standard cross-entropy,True,0.086666,0.070988,top-10 by frequency; all present in train
crystal_system,D4,20,7,30.0,weighted sampler + focal loss,True,4e-06,4e-06,triclinic severely underrepresented (~30x ratio)
space_group_top10,D4,20,10,2.01,standard cross-entropy,True,0.058673,0.055733,top-10 by frequency; all present in train
